,GP,Greedy-based,Graph-based
0,0.55788404,0.5781008,0.55942756
1,0.5640902,0.5781008,0.5676406
2,0.57062167,0.5781008,0.5786625
3,0.57574666,0.5798064,0.58918214
4,0.58471864,0.5808712,0.59735775
5,0.5881686,0.5817075,0.600786
6,0.59086144,0.5820217,0.60701686
7,0.5918722,0.5826131,0.6103302
8,0.593473,0.5826131,0.611355
9,0.59465045,0.5827122,0.61461467
10,0.5950885,0.5831004,0.61575025
11,0.5950885,0.58319783,0.6180818
12,0.59522176,0.5832058,0.6199477
13,0.59709674,0.5832058,0.6218287
14,0.597679,0.5834497,0.6244472
15,0.597679,0.58355314,0.6254901
16,0.597679,0.5836763,0.62691593
17,0.5979622,0.5836763,0.62885684
18,0.5993665,0.5837332,0.62947524
19,0.5996281,0.5838038,0.6325626
20,0.5997706,0.5838038,0.63324773
21,0.59980553,0.5838038,0.63440555
22,0.60038346,0.5839986,0.6345571
23,0.6010249,0.5839986,0.63702315
24,0.60147977,0.5839986,0.63947475
25,0.60172707,0.5839986,0.63949883
26,0.60205066,0.5839986,0.64010316
27,0.60205066,0.5839986,0.64119613
28,0.6034494,0.5839986,0.64202577
29,0.60354215,0.5839986,0.64216936
30,0.60354215,0.58402264,0.6423237
31,0.60381716,0.5841696,0.6424704
32,0.6039228,0.5841696,0.6425901
33,0.6039228,0.5841696,0.6425901
34,0.604292,0.5841696,0.6425901
35,0.6047241,0.5841696,0.6428665
36,0.6047241,0.5841696,0.6431009
37,0.6047241,0.5841696,0.6434956
38,0.6047241,0.5841696,0.644495
39,0.6047279,0.5847511,0.64455277
40,0.6047279,0.5847511,0.64455277
41,0.605064,0.5847511,0.6445547
42,0.6059208,0.5847511,0.6445547
43,0.6064903,0.5847511,0.6446929
44,0.60692376,0.5847511,0.6451075
45,0.60692376,0.5847511,0.6451075
46,0.60798365,0.5847511,0.64521843
47,0.60798365,0.584986,0.64521843
48,0.60818964,0.584986,0.64547557
49,0.60818964,0.584986,0.6457821
50,0.6085493,0.584986,0.6462125
51,0.6085493,0.584986,0.6462125
52,0.60884255,0.584986,0.6465598
53,0.60893995,0.58508295,0.6465598
54,0.60902375,0.58508295,0.64672697
55,0.60902375,0.58508295,0.64672697
56,0.6092357,0.58508295,0.64672697
57,0.6092357,0.58508295,0.64672697
58,0.6092357,0.58508295,0.64703226
59,0.6096256,0.58508295,0.6471704
60,0.6100135,0.58508295,0.6471704
61,0.6101166,0.5851995,0.64743525
62,0.61062926,0.5851995,0.64743525
63,0.61062926,0.5851995,0.64743525
64,0.61074466,0.5851995,0.64743525
65,0.61094576,0.5851995,0.64743525
66,0.6112937,0.5852893,0.64743525
67,0.6112937,0.5852985,0.64743525
68,0.6113852,0.5852985,0.6477094
69,0.61168754,0.5852985,0.6477094
70,0.6122074,0.5852985,0.6479662
71,0.6122074,0.5852985,0.648097
72,0.61272365,0.5853771,0.6482658
73,0.61293024,0.5853771,0.64852715
74,0.61312777,0.5853771,0.64910156
75,0.61312777,0.5853771,0.64937407
76,0.6134917,0.5853771,0.6494378
77,0.6135946,0.5853771,0.6498383
78,0.6135946,0.5853771,0.64990544
79,0.6138347,0.5853771,0.64990544
80,0.6143208,0.5853771,0.65005976
81,0.6143208,0.5853771,0.65005976
82,0.6143208,0.5853771,0.65018785
83,0.6143208,0.5854212,0.65018785
84,0.6143208,0.5854212,0.6505629
85,0.6149013,0.58543646,0.6507031
86,0.6149013,0.58543646,0.6507031
87,0.6150041,0.58543646,0.6507031
88,0.6151143,0.58548194,0.65096384
89,0.6151143,0.58548194,0.65096384
90,0.61540174,0.58548194,0.65096384
91,0.61540174,0.5857183,0.65096384
92,0.61540174,0.5857183,0.65096384
93,0.61540174,0.5857183,0.65096384
94,0.6154422,0.5857183,0.65096384
95,0.6154422,0.5857183,0.65096384
96,0.6154422,0.585768,0.6511223
97,0.6154422,0.5858935,0.6511223
98,0.6167448,0.5858935,0.6511223
99,0.6167448,0.5858935,0.6511223
